stat_id;date;value;method;
REDMINE_TO_OPENTICKETS_AGE;29.07.2019;123.95;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;30.07.2019;124.95;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;19.08.2019;126.04;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;20.08.2019;125.51;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;21.08.2019;126.51;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;22.08.2019;123.83;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;23.08.2019;124.83;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;24.08.2019;125.83;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;25.08.2019;126.83;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;26.08.2019;127.46;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;27.08.2019;123.8;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;28.08.2019;123.66;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_OPENTICKETS_AGE;29.08.2019;123.66;Prumerne stari otevrenych podani slozky Technicky odbor, REST dotazem do Redmine;
