stat_id;date;value;
PI_MEMBERS_OLOMOUCKY;01.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;02.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;03.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;04.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;05.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;06.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;07.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;08.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;09.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;10.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;11.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;12.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;13.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;14.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;15.09.2018;69.0;
PI_MEMBERS_OLOMOUCKY;16.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;17.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;18.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;19.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;20.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;21.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;22.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;23.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;24.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;25.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;26.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;27.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;28.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;29.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;30.09.2018;68.0;
PI_MEMBERS_OLOMOUCKY;01.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;02.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;03.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;04.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;05.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;06.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;07.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;08.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;09.10.2018;68.0;
PI_MEMBERS_OLOMOUCKY;10.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;11.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;12.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;13.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;14.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;15.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;16.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;17.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;18.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;19.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;20.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;21.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;22.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;23.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;24.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;25.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;26.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;27.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;28.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;29.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;30.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;31.10.2018;69.0;
PI_MEMBERS_OLOMOUCKY;01.11.2018;69.0;
PI_MEMBERS_OLOMOUCKY;02.11.2018;69.0;
PI_MEMBERS_OLOMOUCKY;03.11.2018;71.0;
PI_MEMBERS_OLOMOUCKY;04.11.2018;71.0;
PI_MEMBERS_OLOMOUCKY;05.11.2018;71.0;
PI_MEMBERS_OLOMOUCKY;06.11.2018;71.0;
PI_MEMBERS_OLOMOUCKY;07.11.2018;71.0;
PI_MEMBERS_OLOMOUCKY;08.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;09.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;10.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;11.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;12.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;13.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;14.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;15.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;16.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;17.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;18.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;19.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;20.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;21.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;22.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;23.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;24.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;25.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;26.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;27.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;28.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;29.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;30.11.2018;72.0;
PI_MEMBERS_OLOMOUCKY;01.12.2018;73.0;
PI_MEMBERS_OLOMOUCKY;02.12.2018;73.0;
PI_MEMBERS_OLOMOUCKY;07.12.2018;73.0;
PI_MEMBERS_OLOMOUCKY;08.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;09.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;10.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;11.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;12.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;13.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;14.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;15.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;16.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;17.12.2018;75.0;
PI_MEMBERS_OLOMOUCKY;18.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;19.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;20.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;21.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;22.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;23.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;24.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;25.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;26.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;27.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;28.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;29.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;30.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;31.12.2018;74.0;
PI_MEMBERS_OLOMOUCKY;01.01.2019;74.0;
