stat_id;date;value;method;
PP_APPROVED_COUNT;15.07.2019;27.0;None;
PP_APPROVED_COUNT;16.07.2019;31.0;None;
PP_APPROVED_COUNT;17.07.2019;32.0;None;
PP_APPROVED_COUNT;18.07.2019;29.0;None;
PP_APPROVED_COUNT;19.07.2019;3.0;None;
PP_APPROVED_COUNT;20.07.2019;4.0;None;
PP_APPROVED_COUNT;21.07.2019;4.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;22.07.2019;12.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;23.07.2019;9.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;24.07.2019;13.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;25.07.2019;20.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;26.07.2019;24.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;27.07.2019;24.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;28.07.2019;24.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;29.07.2019;8.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;30.07.2019;8.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;19.08.2019;12.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;20.08.2019;7.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
PP_APPROVED_COUNT;21.08.2019;7.0;Pocet zadosti o proplaceni ve stavu Schvalena hospodarem, REST dotazem do piroplaceni;
