stat_id;date;value;
BALANCE_2101446043;06.09.2018;100.0;
BALANCE_2101446043;07.09.2018;100.0;
BALANCE_2101446043;08.09.2018;100.0;
BALANCE_2101446043;09.09.2018;100.0;
BALANCE_2101446043;10.09.2018;100.0;
BALANCE_2101446043;11.09.2018;100.0;
BALANCE_2101446043;12.09.2018;100.0;
BALANCE_2101446043;13.09.2018;100.0;
BALANCE_2101446043;14.09.2018;100.0;
BALANCE_2101446043;15.09.2018;100.0;
BALANCE_2101446043;16.09.2018;100.0;
BALANCE_2101446043;17.09.2018;100.0;
BALANCE_2101446043;18.09.2018;100.0;
BALANCE_2101446043;19.09.2018;100.0;
BALANCE_2101446043;20.09.2018;100.0;
BALANCE_2101446043;21.09.2018;100.0;
BALANCE_2101446043;22.09.2018;100.0;
BALANCE_2101446043;23.09.2018;100.0;
BALANCE_2101446043;24.09.2018;100.0;
BALANCE_2101446043;25.09.2018;100.0;
BALANCE_2101446043;26.09.2018;100.0;
BALANCE_2101446043;27.09.2018;100.0;
BALANCE_2101446043;28.09.2018;100.0;
BALANCE_2101446043;29.09.2018;100.0;
BALANCE_2101446043;30.09.2018;100.0;
BALANCE_2101446043;01.10.2018;100.0;
BALANCE_2101446043;02.10.2018;100.0;
BALANCE_2101446043;03.10.2018;100.0;
BALANCE_2101446043;04.10.2018;100.0;
BALANCE_2101446043;05.10.2018;100.0;
BALANCE_2101446043;06.10.2018;100.0;
BALANCE_2101446043;07.10.2018;100.0;
BALANCE_2101446043;08.10.2018;100.0;
BALANCE_2101446043;09.10.2018;100.0;
BALANCE_2101446043;10.10.2018;100.0;
BALANCE_2101446043;11.10.2018;100.0;
BALANCE_2101446043;12.10.2018;100.0;
BALANCE_2101446043;13.10.2018;100.0;
BALANCE_2101446043;14.10.2018;100.0;
BALANCE_2101446043;15.10.2018;100.0;
BALANCE_2101446043;16.10.2018;100.0;
BALANCE_2101446043;17.10.2018;100.0;
BALANCE_2101446043;18.10.2018;100.0;
BALANCE_2101446043;19.10.2018;100.0;
BALANCE_2101446043;20.10.2018;100.0;
BALANCE_2101446043;21.10.2018;100.0;
BALANCE_2101446043;22.10.2018;100.0;
BALANCE_2101446043;23.10.2018;100.0;
BALANCE_2101446043;24.10.2018;100.0;
BALANCE_2101446043;25.10.2018;100.0;
BALANCE_2101446043;26.10.2018;100.0;
BALANCE_2101446043;27.10.2018;100.0;
BALANCE_2101446043;28.10.2018;100.0;
BALANCE_2101446043;29.10.2018;100.0;
BALANCE_2101446043;30.10.2018;100.0;
BALANCE_2101446043;31.10.2018;100.0;
BALANCE_2101446043;01.11.2018;100.0;
BALANCE_2101446043;02.11.2018;100.0;
BALANCE_2101446043;03.11.2018;100.0;
BALANCE_2101446043;04.11.2018;100.0;
BALANCE_2101446043;05.11.2018;100.0;
BALANCE_2101446043;06.11.2018;100.0;
BALANCE_2101446043;07.11.2018;100.0;
BALANCE_2101446043;08.11.2018;100.0;
BALANCE_2101446043;09.11.2018;100.0;
BALANCE_2101446043;10.11.2018;100.0;
BALANCE_2101446043;11.11.2018;100.0;
BALANCE_2101446043;12.11.2018;100.0;
BALANCE_2101446043;13.11.2018;100.0;
BALANCE_2101446043;14.11.2018;100.0;
BALANCE_2101446043;15.11.2018;100.0;
BALANCE_2101446043;16.11.2018;100.0;
BALANCE_2101446043;17.11.2018;100.0;
BALANCE_2101446043;18.11.2018;100.0;
BALANCE_2101446043;19.11.2018;100.0;
BALANCE_2101446043;20.11.2018;100.0;
BALANCE_2101446043;21.11.2018;100.0;
BALANCE_2101446043;22.11.2018;100.0;
BALANCE_2101446043;23.11.2018;100.0;
BALANCE_2101446043;24.11.2018;100.0;
BALANCE_2101446043;25.11.2018;100.0;
BALANCE_2101446043;26.11.2018;100.0;
BALANCE_2101446043;27.11.2018;100.0;
BALANCE_2101446043;28.11.2018;100.0;
BALANCE_2101446043;29.11.2018;100.0;
BALANCE_2101446043;30.11.2018;100.0;
BALANCE_2101446043;01.12.2018;100.0;
BALANCE_2101446043;02.12.2018;100.0;
BALANCE_2101446043;07.12.2018;100.0;
BALANCE_2101446043;08.12.2018;100.0;
BALANCE_2101446043;09.12.2018;100.0;
BALANCE_2101446043;10.12.2018;100.0;
BALANCE_2101446043;11.12.2018;100.0;
BALANCE_2101446043;12.12.2018;100.0;
BALANCE_2101446043;13.12.2018;100.0;
BALANCE_2101446043;14.12.2018;100.0;
BALANCE_2101446043;15.12.2018;100.0;
BALANCE_2101446043;16.12.2018;100.0;
BALANCE_2101446043;17.12.2018;100.0;
BALANCE_2101446043;18.12.2018;100.0;
BALANCE_2101446043;19.12.2018;100.0;
BALANCE_2101446043;20.12.2018;100.0;
BALANCE_2101446043;21.12.2018;100.0;
BALANCE_2101446043;22.12.2018;100.0;
BALANCE_2101446043;23.12.2018;100.0;
BALANCE_2101446043;24.12.2018;100.0;
BALANCE_2101446043;25.12.2018;100.0;
BALANCE_2101446043;26.12.2018;100.0;
BALANCE_2101446043;27.12.2018;100.0;
BALANCE_2101446043;28.12.2018;100.0;
BALANCE_2101446043;29.12.2018;100.0;
BALANCE_2101446043;30.12.2018;100.0;
BALANCE_2101446043;31.12.2018;100.0;
BALANCE_2101446043;01.01.2019;100.0;
BALANCE_2101446043;02.01.2019;100.0;
BALANCE_2101446043;03.01.2019;100.0;
BALANCE_2101446043;04.01.2019;100.0;
BALANCE_2101446043;05.01.2019;100.0;
BALANCE_2101446043;06.01.2019;100.0;
BALANCE_2101446043;07.01.2019;100.0;
BALANCE_2101446043;08.01.2019;100.0;
BALANCE_2101446043;09.01.2019;100.0;
BALANCE_2101446043;10.01.2019;100.0;
BALANCE_2101446043;11.01.2019;100.0;
BALANCE_2101446043;13.01.2019;100.0;
BALANCE_2101446043;14.01.2019;100.0;
BALANCE_2101446043;15.01.2019;100.0;
