stat_id;date;value;method;
REDMINE_PRAVNI_OPENTICKETS_AGE;29.07.2019;536.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;30.07.2019;537.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;19.08.2019;557.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;20.08.2019;559.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;21.08.2019;560.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;22.08.2019;561.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;23.08.2019;562.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;24.08.2019;563.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;25.08.2019;564.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;26.08.2019;565.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;27.08.2019;566.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;28.08.2019;567.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;29.08.2019;568.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;30.08.2019;569.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;31.08.2019;570.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;01.09.2019;571.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;02.09.2019;571.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;03.09.2019;572.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;04.09.2019;573.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;05.09.2019;574.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;06.09.2019;575.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;07.09.2019;576.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
REDMINE_PRAVNI_OPENTICKETS_AGE;08.09.2019;577.22;Prumerne stari otevrenych podani slozky Pravni tym, REST dotazem do Redmine;
