stat_id;date;value;method;
REDMINE_TO_NEWOPENTICKETS_AGE;02.09.2019;79.88;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;03.09.2019;78.98;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;04.09.2019;78.14;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;05.09.2019;78.64;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;06.09.2019;79.41;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;07.09.2019;80.41;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;08.09.2019;76.83;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;09.09.2019;74.02;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;10.09.2019;71.59;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;11.09.2019;72.59;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;12.09.2019;70.85;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;13.09.2019;71.85;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;14.09.2019;72.85;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;15.09.2019;75.3;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;16.09.2019;74.36;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;17.09.2019;74.56;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;18.09.2019;73.33;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;19.09.2019;80.77;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;20.09.2019;78.48;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;21.09.2019;77.79;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;22.09.2019;82.7;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;23.09.2019;85.16;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;24.09.2019;87.74;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
REDMINE_TO_NEWOPENTICKETS_AGE;25.09.2019;88.74;Prumerne stari otevrenych podani (po 1.1.2019) slozky Technicky odbor, REST dotazem do Redmine;
